[10:09:29] [udemy-downloader] [pre_run:406] INFO: Output directory set to F:\Cursor\Advance-Udemy-Downloader\out_dir
[10:09:29] [udemy-downloader] [pre_run:421] INFO: Chapter filter applied: [4]
[10:09:30] [udemy-downloader] [__init__:463] INFO: Found cookie.txt, attempting to use for authentication...
[10:09:30] [udemy-downloader] [main:2161] INFO: > Fetching course information, this may take a minute...
[10:09:36] [udemy-downloader] [main:2164] INFO: > Course information retrieved!
[10:09:36] [udemy-downloader] [main:2169] INFO: > Fetching course curriculum, this may take a minute...
[10:10:05] [udemy-downloader] [_extract_course_curriculum:947] INFO: > Downloading course curriculum.. (Page 2/3)
[10:10:09] [udemy-downloader] [main:2185] INFO: > Course curriculum retrieved!
[10:10:09] [udemy-downloader] [main:2212] INFO: > Processing course data, this may take a minute. 
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 81 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 82 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 83 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 84 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 85 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 86 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 88 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 89 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 90 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 91 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 92 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 93 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 94 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 95 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 96 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 97 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 98 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 99 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 100 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 101 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 102 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 103 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 104 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 105 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 106 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 107 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 108 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 110 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 111 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 112 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 113 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 114 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 115 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 116 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 117 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 118 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 119 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 120 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 121 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 122 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 123 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 124 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 125 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 126 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 127 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 128 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 129 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 130 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 131 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 132 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 133 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 134 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 135 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 136 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 137 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 138 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 139 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 140 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 141 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 143 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 144 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 145 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 146 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 147 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 148 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 149 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 150 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 151 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 152 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 153 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 154 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 155 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 156 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 157 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 158 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 159 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 160 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 161 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 162 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 163 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 164 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 165 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 166 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 167 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 168 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 169 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 171 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 172 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 173 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 174 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 175 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 176 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 177 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 178 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 179 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 180 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 181 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 182 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 183 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 184 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 185 of 216
